Command,Short Description,Long Desciption,syntax,example
create,Open an assembly,Opens an existing assembly and sets it as the TOPASM.,create <assembly name>,create template.asm
chdir,Change working Directory,Changes to working director,chdir <path to working directory>,chdir C:\\docs\\partvault
delcbyr,Delete a componpenent by rule,,,
assem,add component to an assem,,,
mkdir,,,,
addstoc,,,,
save,,,,
rencbyr,,,,
import,,,,
mvandtpl,,,,
addparam,,,,
chparam,,,,
mrgparam,,,,
open,,,,
load,,,,
kenna1,,,,
kenna1c,,,,
kenna2,,,,
kenna3,,,,
kenna4,,,,
kenna5,,,,
kenna6,,,,
kenna7,,,,
kennafrmadd,,,,
asmdfcsys,,,,
addmmat,,,,
asgnmat,,,,
display,,,,
addstocbybcol,,,,
color,,,,
colorof,,,,
deletef,,,,
iftrueskipn,,,,
getcsysn,,,,
renamecbycol,,,,
renamend,,,,
export,,,,
chunits,,,,
convert,,,,
kps1,,,,
delsuprs,,,,
chcolorif,,,,
loadtrail,,,,
crdraw,,,,
export3D,,,,
importas,,,,
eraseo,,,,
drwshodims,,,,
crplane,,,,
fileshealth,,,,
export2d,,,,
setconfopt,,,,
export3Dflat,,,,
bnbox,,,,
exportj,,,,
swlayer,,,,
jbnbox,,,,
erasend,,,,
drwshtdel,,,,
drwshtadd,,,,
addcsysp,,,,
drwshtset,,,,
drwshtrgn,,,,
convertak1,,,,
